image_path,0,1,2,3,4,5,6,7,8,9
img_000001.jpg,0.0188,0.0424,0.0636,0.1656,0.402,0.1584,0.042,0.0364,0.0268,0.044
img_000002.jpg,0.0544,0.0712,0.0684,0.1392,0.2792,0.1196,0.068,0.0652,0.046,0.0888
img_000003.jpg,0.04,0.0776,0.0648,0.1436,0.2984,0.146,0.0524,0.0632,0.04,0.074
img_000004.jpg,0.0548,0.0768,0.0732,0.1116,0.2612,0.128,0.054,0.0708,0.0664,0.1032
img_000005.jpg,0.0372,0.076,0.0724,0.1412,0.2768,0.1612,0.06,0.0616,0.0396,0.074
img_000006.jpg,0.0332,0.0672,0.0584,0.1444,0.2972,0.1544,0.0536,0.0536,0.0564,0.0816
img_000007.jpg,0.0536,0.0788,0.0684,0.1344,0.2664,0.1348,0.0668,0.0652,0.0468,0.0848
img_000008.jpg,0.0392,0.0804,0.0488,0.1436,0.2524,0.1524,0.058,0.0756,0.0608,0.0888
img_000009.jpg,0.0584,0.0808,0.0728,0.1264,0.2324,0.12,0.07,0.0708,0.0568,0.1116
img_000010.jpg,0.0212,0.0532,0.0572,0.16,0.3948,0.144,0.0508,0.0468,0.028,0.044
img_000011.jpg,0.078,0.0856,0.044,0.078,0.1236,0.1288,0.0616,0.0836,0.1508,0.166
img_000012.jpg,0.0248,0.0464,0.0488,0.1564,0.328,0.132,0.04,0.0664,0.0716,0.0856
img_000013.jpg,0.026,0.0444,0.0788,0.1756,0.2988,0.1892,0.0604,0.0412,0.03,0.0556
img_000014.jpg,0.0276,0.0572,0.0644,0.1704,0.3512,0.1576,0.0472,0.054,0.0224,0.048
img_000015.jpg,0.0528,0.086,0.052,0.1188,0.29,0.1192,0.0444,0.0696,0.0656,0.1016
img_000016.jpg,0.0596,0.0924,0.0668,0.132,0.2268,0.1224,0.0508,0.086,0.056,0.1072
img_000017.jpg,0.06,0.0804,0.0584,0.1072,0.2232,0.1312,0.0628,0.0752,0.078,0.1236
img_000018.jpg,0.0348,0.0804,0.036,0.1224,0.2192,0.1592,0.066,0.0608,0.1308,0.0904
img_000019.jpg,0.04,0.0672,0.0548,0.14,0.2388,0.1492,0.0576,0.0648,0.0924,0.0952
img_000020.jpg,0.0624,0.0948,0.0544,0.1148,0.2432,0.1344,0.0612,0.0832,0.0536,0.098
img_000021.jpg,0.0408,0.0828,0.0612,0.1208,0.2532,0.1332,0.0508,0.0652,0.1024,0.0896
img_000022.jpg,0.0124,0.0424,0.0392,0.1512,0.4284,0.1712,0.0296,0.0356,0.066,0.024
img_000023.jpg,0.0608,0.0848,0.0672,0.134,0.2212,0.1404,0.0596,0.0644,0.0616,0.106
img_000024.jpg,0.0152,0.028,0.0216,0.0928,0.2116,0.1796,0.0152,0.0552,0.3388,0.042
img_000025.jpg,0.0444,0.07,0.062,0.138,0.2716,0.1448,0.0632,0.064,0.0612,0.0808
img_000026.jpg,0.0564,0.0824,0.066,0.122,0.2316,0.1452,0.062,0.0672,0.0568,0.1104
img_000027.jpg,0.0332,0.0604,0.058,0.1608,0.3052,0.1704,0.0572,0.0472,0.0444,0.0632
img_000028.jpg,0.0828,0.0944,0.0588,0.1308,0.1384,0.126,0.0604,0.0704,0.0884,0.1496
img_000029.jpg,0.0868,0.0888,0.0372,0.08,0.158,0.1228,0.0556,0.084,0.1368,0.15
img_000030.jpg,0.0524,0.082,0.0728,0.1372,0.2712,0.104,0.0544,0.0728,0.054,0.0992
img_000031.jpg,0.048,0.0748,0.0804,0.1364,0.2748,0.132,0.0668,0.0612,0.0448,0.0808
img_000032.jpg,0.0492,0.0644,0.0416,0.1088,0.2592,0.1516,0.0372,0.0656,0.1144,0.108
img_000033.jpg,0.0664,0.0804,0.0544,0.1028,0.2488,0.1204,0.064,0.0716,0.0788,0.1124
img_000034.jpg,0.0356,0.0648,0.08,0.1564,0.2788,0.1468,0.0644,0.062,0.0348,0.0764
img_000035.jpg,0.0524,0.0732,0.0676,0.13,0.2732,0.122,0.0556,0.0776,0.0564,0.092
img_000036.jpg,0.0532,0.0868,0.0512,0.1356,0.26,0.1544,0.054,0.064,0.0536,0.0872
img_000037.jpg,0.056,0.0964,0.0436,0.0924,0.3252,0.118,0.0448,0.0672,0.0556,0.1008
img_000038.jpg,0.062,0.0716,0.0768,0.1204,0.2572,0.0972,0.052,0.0804,0.062,0.1204
img_000039.jpg,0.0476,0.0776,0.0636,0.1392,0.2776,0.148,0.0624,0.0636,0.04,0.0804
img_000040.jpg,0.0432,0.078,0.0652,0.1408,0.2824,0.146,0.062,0.0496,0.044,0.0888
img_000041.jpg,0.0648,0.086,0.0604,0.0996,0.2196,0.126,0.0684,0.0752,0.08,0.12
img_000042.jpg,0.0732,0.092,0.0728,0.0996,0.2124,0.1112,0.0548,0.0816,0.068,0.1344
img_000043.jpg,0.0172,0.0504,0.0516,0.1528,0.3532,0.1488,0.0504,0.0456,0.0808,0.0492
img_000044.jpg,0.034,0.064,0.0612,0.1468,0.31,0.1564,0.06,0.0488,0.0484,0.0704
img_000045.jpg,0.0432,0.0684,0.0608,0.1528,0.2428,0.16,0.0532,0.0704,0.0564,0.092
img_000046.jpg,0.052,0.088,0.0636,0.1256,0.2908,0.1248,0.0384,0.0768,0.0472,0.0928
img_000047.jpg,0.0312,0.0524,0.0392,0.1352,0.174,0.1964,0.048,0.062,0.166,0.0956
img_000048.jpg,0.0144,0.0372,0.0076,0.0856,0.1276,0.1788,0.0224,0.0756,0.3908,0.06
img_000049.jpg,0.0524,0.0856,0.0776,0.1388,0.2196,0.132,0.0724,0.0704,0.054,0.0972
img_000050.jpg,0.0656,0.0704,0.0632,0.1264,0.218,0.1252,0.0564,0.0784,0.0764,0.12
img_000051.jpg,0.0008,0.01,0.0072,0.0676,0.1796,0.2072,0.0184,0.0288,0.4476,0.0328
img_000052.jpg,0.0312,0.0712,0.03,0.1416,0.2316,0.1648,0.0752,0.0612,0.0976,0.0956
img_000053.jpg,0.0344,0.0624,0.0664,0.1484,0.318,0.1576,0.05,0.0548,0.0388,0.0692
img_000054.jpg,0.0364,0.0672,0.0552,0.1228,0.2876,0.1572,0.05,0.052,0.0928,0.0788
img_000055.jpg,0.0624,0.0908,0.0496,0.1016,0.2908,0.1228,0.044,0.082,0.0524,0.1036
img_000056.jpg,0.0464,0.0724,0.0468,0.0908,0.2488,0.1304,0.0308,0.0752,0.1676,0.0908
img_000057.jpg,0.0628,0.0792,0.0548,0.114,0.2528,0.134,0.052,0.0684,0.0676,0.1144
img_000058.jpg,0.0424,0.0764,0.082,0.1504,0.2548,0.1388,0.0628,0.068,0.046,0.0784
img_000059.jpg,0.052,0.0772,0.0584,0.1108,0.226,0.142,0.0544,0.0836,0.0868,0.1088
img_000060.jpg,0.0516,0.08,0.0488,0.1096,0.3088,0.1288,0.0488,0.0636,0.0588,0.1012
img_000061.jpg,0.0072,0.048,0.0184,0.1224,0.2316,0.1568,0.0168,0.068,0.2668,0.064
img_000062.jpg,0.0708,0.0852,0.0544,0.1104,0.2228,0.1304,0.0612,0.0772,0.0668,0.1208
